Action	UP	DOWN	LEFT	RIGHT
fled	0	1	23	0
pointed at	0	0	0	23
pulled	0	2	22	0
pushed	0	0	2	22
walked	0	0	0	24
hunted	0	6	10	8
impacted	0	12	3	8
perched	16	8	0	0
showed	0	0	0	24
smashed	0	22	0	2
bombed	0	24	0	0
flew	23	0	0	0
floated	24	0	0	0
lifted	24	0	0	0
sank	0	24	0	0
argued with	0	1	16	2
gave to	0	0	0	23
offended	0	13	11	0
rushed	0	0	0	24
warned	2	0	16	0
owned	3	9	2	10
regretted	0	0	24	0
rested	0	15	3	3
tempted	0	1	10	13
wanted	3	0	0	21
hoped	9	0	0	15
increased	24	0	0	0
obeyed	0	0	0	24
respected	24	0	0	0
succeeded	9	0	0	15
